
**************************************************************
 Geant4 version Name: geant4-10-04-patch-01 [MT]   (28-February-2018)
                       Copyright : Geant4 Collaboration
                      References : NIM A 506 (2003), 250-303
                                 : IEEE-TNS 53 (2006), 270-278
                                 : NIM A 835 (2016), 186-225
                             WWW : http://geant4.org/
**************************************************************

Air G4MaterialPropertiesTable
2.177e-06   1
2.216e-06   1
2.256e-06   1
2.298e-06   1
2.341e-06   1
2.386e-06   1
2.433e-06   1
2.481e-06   1
2.532e-06   1
2.585e-06   1
2.64e-06   1
2.697e-06   1
2.757e-06   1
2.82e-06   1
2.885e-06   1
2.954e-06   1
3.026e-06   1
3.102e-06   1
3.181e-06   1
3.265e-06   1
3.353e-06   1
3.446e-06   1
3.545e-06   1
3.649e-06   1
3.76e-06   1
3.877e-06   1
4.002e-06   1
4.136e-06   1
9: GROUPVEL
2.034e-06   299.792
2.051e-06   299.792
2.0855e-06   299.792
2.121e-06   299.792
2.158e-06   299.792
2.1965e-06   299.792
2.236e-06   299.792
2.277e-06   299.792
2.3195e-06   299.792
2.3635e-06   299.792
2.4095e-06   299.792
2.457e-06   299.792
2.5065e-06   299.792
2.5585e-06   299.792
2.6125e-06   299.792
2.6685e-06   299.792
2.727e-06   299.792
2.7885e-06   299.792
2.8525e-06   299.792
2.9195e-06   299.792
2.99e-06   299.792
3.064e-06   299.792
3.1415e-06   299.792
3.223e-06   299.792
3.309e-06   299.792
3.3995e-06   299.792
3.4955e-06   299.792
3.597e-06   299.792
3.7045e-06   299.792
3.8185e-06   299.792
3.9395e-06   299.792
4.136e-06   299.792
14: ABSLENGTH
2.034e-06   1e-05
2.068e-06   1e-05
2.103e-06   1e-05
2.139e-06   1e-05
2.177e-06   1e-05
2.216e-06   1e-05
2.256e-06   1e-05
2.298e-06   1e-05
2.341e-06   1e-05
2.386e-06   1e-05
2.433e-06   1e-05
2.481e-06   1e-05
2.532e-06   1e-05
2.585e-06   1e-05
2.64e-06   1e-05
2.697e-06   1e-05
2.757e-06   1e-05
2.82e-06   1e-05
2.885e-06   1e-05
2.954e-06   1e-05
3.026e-06   1e-05
3.102e-06   1e-05
3.181e-06   1e-05
3.265e-06   1e-05
3.353e-06   1e-05
3.446e-06   1e-05
3.545e-06   1e-05
3.649e-06   1e-05
3.76e-06   1e-05
3.877e-06   1e-05
4.002e-06   1e-05
4.136e-06   1e-05
Acrylic G4MaterialPropertiesTable
0: RINDEX
2.034e-06   1.48963
2.068e-06   1.49007
2.103e-06   1.49052
2.139e-06   1.491
2.177e-06   1.49151
2.216e-06   1.49205
2.256e-06   1.49261
2.298e-06   1.49321
2.341e-06   1.49384
2.386e-06   1.49451
2.433e-06   1.49523
2.481e-06   1.49598
2.532e-06   1.4968
2.585e-06   1.49767
2.64e-06   1.49859
2.697e-06   1.49958
2.757e-06   1.50064
2.82e-06   1.50178
2.885e-06   1.503
2.954e-06   1.50432
3.026e-06   1.50575
3.102e-06   1.5073
3.181e-06   1.50896
3.265e-06   1.51079
3.353e-06   1.51277
3.446e-06   1.51494
3.545e-06   1.51734
3.649e-06   1.51996
3.76e-06   1.52286
3.877e-06   1.52606
4.002e-06   1.52963
4.136e-06   1.53365
9: GROUPVEL
2.034e-06   197.781
2.051e-06   197.753
2.0855e-06   197.573
2.121e-06   197.384
2.158e-06   197.184
2.1965e-06   196.971
2.236e-06   196.749
2.277e-06   196.514
2.3195e-06   196.265
2.3635e-06   196.003
2.4095e-06   195.722
2.457e-06   195.426
2.5065e-06   195.111
2.5585e-06   194.772
2.6125e-06   194.412
2.6685e-06   194.03
2.727e-06   193.621
2.7885e-06   193.18
2.8525e-06   192.709
2.9195e-06   192.203
2.99e-06   191.656
3.064e-06   191.066
3.1415e-06   190.43
3.223e-06   189.74
3.309e-06   188.99
3.3995e-06   188.176
3.4955e-06   187.283
3.597e-06   186.306
3.7045e-06   185.234
3.8185e-06   184.054
3.9395e-06   182.754
4.136e-06   181.085
14: ABSLENGTH
2.034e-06   1000
2.068e-06   1000
2.103e-06   1000
2.139e-06   1000
2.177e-06   1000
2.216e-06   1000
2.256e-06   1000
2.298e-06   1000
2.341e-06   1000
2.386e-06   1000
2.433e-06   1000
2.481e-06   1000
2.532e-06   1000
2.585e-06   1000
2.64e-06   1000
2.697e-06   1000
2.757e-06   1000
2.82e-06   1000
2.885e-06   1000
2.954e-06   1000
3.026e-06   1000
3.102e-06   1000
3.181e-06   1000
3.265e-06   1000
3.353e-06   1000
3.446e-06   1000
3.545e-06   1000
3.649e-06   1000
3.76e-06   1000
3.877e-06   1000
4.002e-06   1000
4.136e-06   1000
Polystyrene G4MaterialPropertiesTable
0: RINDEX
2.034e-06   1.58951
2.068e-06   1.59044
2.103e-06   1.59142
2.139e-06   1.59245
2.177e-06   1.59356
2.216e-06   1.59472
2.256e-06   1.59594
2.298e-06   1.59725
2.341e-06   1.59862
2.386e-06   1.60009
2.433e-06   1.60166
2.481e-06   1.60331
2.532e-06   1.60511
2.585e-06   1.60703
2.64e-06   1.60907
2.697e-06   1.61126
2.757e-06   1.61362
2.82e-06   1.61618
2.885e-06   1.61891
2.954e-06   1.6219
3.026e-06   1.62514
3.102e-06   1.62867
3.181e-06   1.63249
3.265e-06   1.6367
3.353e-06   1.6413
3.446e-06   1.64638
3.545e-06   1.65203
3.649e-06   1.65826
3.76e-06   1.66526
3.877e-06   1.67303
4.002e-06   1.68183
4.136e-06   1.69185
9: GROUPVEL
2.034e-06   182.159
2.051e-06   182.108
2.0855e-06   181.77
2.121e-06   181.415
2.158e-06   181.039
2.1965e-06   180.639
2.236e-06   180.221
2.277e-06   179.778
2.3195e-06   179.309
2.3635e-06   178.813
2.4095e-06   178.283
2.457e-06   177.724
2.5065e-06   177.128
2.5585e-06   176.486
2.6125e-06   175.804
2.6685e-06   175.078
2.727e-06   174.301
2.7885e-06   173.463
2.8525e-06   172.566
2.9195e-06   171.602
2.99e-06   170.557
3.064e-06   169.428
3.1415e-06   168.209
3.223e-06   166.887
3.309e-06   165.446
3.3995e-06   163.878
3.4955e-06   162.155
3.597e-06   160.268
3.7045e-06   158.192
3.8185e-06   155.904
3.9395e-06   153.376
4.136e-06   150.176
14: ABSLENGTH
2.034e-06   1000
2.068e-06   1000
2.103e-06   1000
2.139e-06   1000
2.177e-06   1000
2.216e-06   1000
2.256e-06   1000
2.298e-06   1000
2.341e-06   1000
2.386e-06   1000
2.433e-06   1000
2.481e-06   1000
2.532e-06   1000
2.585e-06   1000
2.64e-06   1000
2.697e-06   1000
2.757e-06   1000
2.82e-06   1000
2.885e-06   1000
2.954e-06   1000
3.026e-06   1000
3.102e-06   1000
3.181e-06   1000
3.265e-06   1000
3.353e-06   1000
3.446e-06   1000
3.545e-06   1000
3.649e-06   1000
3.76e-06   1000
3.877e-06   1000
4.002e-06   1000
4.136e-06   1000
Visualization Manager instantiating with verbosity "warnings (3)"...
Visualization Manager initialising...
Registering graphics systems...

You have successfully registered the following graphics systems.
Current available graphics systems are:
ASCIITree (ATree)
DAWNFILE (DAWNFILE)
G4HepRep (HepRepXML)
G4HepRepFile (HepRepFile)
RayTracer (RayTracer)
VRML1FILE (VRML1FILE)
VRML2FILE (VRML2FILE)
gMocrenFile (gMocrenFile)
OpenGLImmediateQt (OGLIQt, OGLI)
OpenGLStoredQt (OGLSQt, OGL, OGLS)
OpenGLImmediateX (OGLIX, OGLIQt_FALLBACK)
OpenGLStoredX (OGLSX, OGLSQt_FALLBACK)
RayTracerX (RayTracerX)

Registering model factories...

You have successfully registered the following model factories.
Registered model factories:
  generic
  drawByAttribute
  drawByCharge
  drawByOriginVolume
  drawByParticleID
  drawByEncounteredVolume

Registered filter factories:
  attributeFilter
  chargeFilter
  originVolumeFilter
  particleFilter
  encounteredVolumeFilter

You have successfully registered the following user vis actions.
Run Duration User Vis Actions: none
End of Event User Vis Actions: none
End of Run User Vis Actions: none

Some /vis commands (optionally) take a string to specify colour.
"/vis/list" to see available colours.

msc:   for e-    SubType= 10
      RangeFactor= 0.04, stepLimitType: 1, latDisplacement: 1
      ===== EM models for the G4Region  DefaultRegionForTheWorld ======
            UrbanMsc :  Emin=        0 eV    Emax=      100 TeV  Table with 84 bins Emin=    100 eV    Emax=    100 TeV

eIoni:   for  e-    SubType= 2
      dE/dx and range tables from 100 eV  to 100 TeV in 84 bins
      Lambda tables from threshold to 100 TeV, 7 bins per decade, spline: 1
      finalRange(mm)= 1, dRoverRange= 0.2, integral: 1, fluct: 1, linLossLimit= 0.01
      ===== EM models for the G4Region  DefaultRegionForTheWorld ======
        MollerBhabha :  Emin=        0 eV    Emax=      100 TeV

msc:   for e+    SubType= 10
      RangeFactor= 0.04, stepLimitType: 1, latDisplacement: 1
      ===== EM models for the G4Region  DefaultRegionForTheWorld ======
            UrbanMsc :  Emin=        0 eV    Emax=      100 TeV  Table with 84 bins Emin=    100 eV    Emax=    100 TeV

eIoni:   for  e+    SubType= 2
      dE/dx and range tables from 100 eV  to 100 TeV in 84 bins
      Lambda tables from threshold to 100 TeV, 7 bins per decade, spline: 1
      finalRange(mm)= 1, dRoverRange= 0.2, integral: 1, fluct: 1, linLossLimit= 0.01
      ===== EM models for the G4Region  DefaultRegionForTheWorld ======
        MollerBhabha :  Emin=        0 eV    Emax=      100 TeV

annihil:   for  e+, integral: 1     SubType= 5  BuildTable= 0
      ===== EM models for the G4Region  DefaultRegionForTheWorld ======
            eplus2gg :  Emin=        0 eV    Emax=      100 TeV

ionIoni:   for  GenericIon    SubType= 2
      dE/dx and range tables from 100 eV  to 100 TeV in 84 bins
      Lambda tables from threshold to 100 TeV, 7 bins per decade, spline: 1
      finalRange(mm)= 0.1, dRoverRange= 0.2, integral: 1, fluct: 1, linLossLimit= 0.02
      Stopping Power data for 17 ion/material pairs 
      ===== EM models for the G4Region  DefaultRegionForTheWorld ======
            BraggIon :  Emin=        0 eV    Emax=        2 MeV
          BetheBloch :  Emin=        2 MeV   Emax=      100 TeV

msc:   for mu+    SubType= 10
      RangeFactor= 0.2, step limit type: 0, lateralDisplacement: 0, polarAngleLimit(deg)= 180
      ===== EM models for the G4Region  DefaultRegionForTheWorld ======
            UrbanMsc :  Emin=        0 eV    Emax=      100 TeV  Table with 84 bins Emin=    100 eV    Emax=    100 TeV

muIoni:   for  mu+    SubType= 2
      dE/dx and range tables from 100 eV  to 100 TeV in 84 bins
      Lambda tables from threshold to 100 TeV, 7 bins per decade, spline: 1
      finalRange(mm)= 0.1, dRoverRange= 0.2, integral: 1, fluct: 1, linLossLimit= 0.01
      ===== EM models for the G4Region  DefaultRegionForTheWorld ======
               Bragg :  Emin=        0 eV    Emax=      200 keV
          BetheBloch :  Emin=      200 keV   Emax=        1 GeV
        MuBetheBloch :  Emin=        1 GeV   Emax=      100 TeV

muPairProd:   for  mu+    SubType= 4
      dE/dx and range tables from 100 eV  to 100 TeV in 84 bins
      Lambda tables from threshold to 100 TeV, 7 bins per decade, spline: 1
      Sampling table 21x1001; from 1 GeV to 100 TeV 
      ===== EM models for the G4Region  DefaultRegionForTheWorld ======
          muPairProd :  Emin=        0 eV    Emax=      100 TeV

msc:   for mu-    SubType= 10
      RangeFactor= 0.2, step limit type: 0, lateralDisplacement: 0, polarAngleLimit(deg)= 180
      ===== EM models for the G4Region  DefaultRegionForTheWorld ======
            UrbanMsc :  Emin=        0 eV    Emax=      100 TeV  Table with 84 bins Emin=    100 eV    Emax=    100 TeV

muIoni:   for  mu-    SubType= 2
      dE/dx and range tables from 100 eV  to 100 TeV in 84 bins
      Lambda tables from threshold to 100 TeV, 7 bins per decade, spline: 1
      finalRange(mm)= 0.1, dRoverRange= 0.2, integral: 1, fluct: 1, linLossLimit= 0.01
      ===== EM models for the G4Region  DefaultRegionForTheWorld ======
            ICRU73QO :  Emin=        0 eV    Emax=      200 keV
          BetheBloch :  Emin=      200 keV   Emax=        1 GeV
        MuBetheBloch :  Emin=        1 GeV   Emax=      100 TeV

muPairProd:   for  mu-    SubType= 4
      dE/dx and range tables from 100 eV  to 100 TeV in 84 bins
      Lambda tables from threshold to 100 TeV, 7 bins per decade, spline: 1
      Sampling table 21x1001; from 1 GeV to 100 TeV 
      ===== EM models for the G4Region  DefaultRegionForTheWorld ======
          muPairProd :  Emin=        0 eV    Emax=      100 TeV

----> Output file is open in Analysis.root
### Run 0 start.
<<< Event  0 has started.
Stacking Action: Number of Scintillation photons produced in this event : 0
Stacking Action: Number of Cerenkov photons produced in this event : 3365
<<< Event  0 has ended.
0x7fba549cb1d0 G4 HCE of this event 
22 this is the number of hits in this event 
<<< Event  1 has started.
Stacking Action: Number of Scintillation photons produced in this event : 0
Stacking Action: Number of Cerenkov photons produced in this event : 3567
<<< Event  1 has ended.
0x7fba549cb1d0 G4 HCE of this event 
33 this is the number of hits in this event 
<<< Event  2 has started.
Stacking Action: Number of Scintillation photons produced in this event : 0
Stacking Action: Number of Cerenkov photons produced in this event : 3616
<<< Event  2 has ended.
0x7fba549cb1d0 G4 HCE of this event 
115 this is the number of hits in this event 
<<< Event  3 has started.
Stacking Action: Number of Scintillation photons produced in this event : 0
Stacking Action: Number of Cerenkov photons produced in this event : 6871
<<< Event  3 has ended.
0x7fba549cb1d0 G4 HCE of this event 
615 this is the number of hits in this event 
<<< Event  4 has started.
Stacking Action: Number of Scintillation photons produced in this event : 0
Stacking Action: Number of Cerenkov photons produced in this event : 3973
<<< Event  4 has ended.
0x7fba549cb1d0 G4 HCE of this event 
156 this is the number of hits in this event 
<<< Event  5 has started.
Stacking Action: Number of Scintillation photons produced in this event : 0
Stacking Action: Number of Cerenkov photons produced in this event : 3350
<<< Event  5 has ended.
0x7fba549cb1d0 G4 HCE of this event 
27 this is the number of hits in this event 
<<< Event  6 has started.
Stacking Action: Number of Scintillation photons produced in this event : 0
Stacking Action: Number of Cerenkov photons produced in this event : 6858
<<< Event  6 has ended.
0x7fba549cb1d0 G4 HCE of this event 
461 this is the number of hits in this event 
<<< Event  7 has started.
Stacking Action: Number of Scintillation photons produced in this event : 0
Stacking Action: Number of Cerenkov photons produced in this event : 3295
<<< Event  7 has ended.
0x7fba549cb1d0 G4 HCE of this event 
4 this is the number of hits in this event 
<<< Event  8 has started.
Stacking Action: Number of Scintillation photons produced in this event : 0
Stacking Action: Number of Cerenkov photons produced in this event : 3355
<<< Event  8 has ended.
0x7fba549cb1d0 G4 HCE of this event 
18 this is the number of hits in this event 
<<< Event  9 has started.
Stacking Action: Number of Scintillation photons produced in this event : 0
Stacking Action: Number of Cerenkov photons produced in this event : 4325
<<< Event  9 has ended.
0x7fba549cb1d0 G4 HCE of this event 
192 this is the number of hits in this event 

 ----> print histograms statistic 

EAbs: mean = 0 eV  rms = 0 eV 

----> Histograms and ntuples are saved

 end of run. 
Graphics systems deleted.
Visualization Manager deleting...
